time;position24;slider_velocity;slider_velocity_kinks;slider_velocity_GGL_h=0.01;total_energy_system;total_energy_increment_system;time_ref1[Rosenbrock];pos_ref1[Rosenbrock];angle_ref1[LieGroupGenAlpha];time_ref2[LieGroupGenAlpha];pos_ref2[LieGroupGenAlpha]
1.41;0.284714014;0.417400048;0.395400426;0.391592905;0.76643568;1.00E-22;2.357859532;0.189857818;24.82398981;1.31966074;0.18873673
1.42;0.288141296;0.342728172;0.290055919;0.279253283;0.76643568;-3.16E-15;2.37458194;0.19357277;24.95474404;1.32832967;0.19055202
1.43;0.290013384;0.187208768;0.084361617;0.078287957;0.76643568;6.11E-16;2.391304348;0.197459377;25.0669886;1.33832967;0.19281432
1.44;0.289645763;-0.036762041;-0.157885699;-0.16772903;0.76643568;3.41E-15;2.408026756;0.201458207;25.16856652;1.34832967;0.19519646
1.45;0.286931957;-0.271380594;-0.384875488;-0.38402292;0.76643568;-1.10E-15;2.424749164;0.205569172;25.26396788;1.35832967;0.19766265
1.46;0.282453296;-0.447866169;-0.51085685;-0.510800271;0.76643568;1.00E-22;2.441471572;0.209811226;25.35608489;1.36832967;0.20019387
1.47;0.277040409;-0.541288695;-0.571720541;-0.572169899;0.76643568;-2.08E-16;2.45819398;0.214210083;25.44699346;1.37832967;0.2027802
1.48;0.271174;-0.586640843;-0.601561146;-0.601170025;0.76643568;1.00E-22;2.474916388;0.218794017;25.53833744;1.38832967;0.20541703
1.49;0.265101452;-0.607254784;-0.612948421;-0.613649971;0.76643568;3.04E-17;2.491638796;0.223592258;25.63154817;1.39832967;0.20810283
1.5;0.258950329;-0.615112303;-0.617276185;-0.616634381;0.76643568;-1.70E-16;2.508361204;0.228634358;25.72799034;1.40832967;0.21083795
1.51;0.252798897;-0.615143225;-0.613010265;-0.613532276;0.76643568;-6.40E-16;2.525083612;0.233949869;25.82908242;1.41832967;0.21362384
1.52;0.246699286;-0.609961124;-0.606911983;-0.6061662;0.76643568;-4.01E-16;2.54180602;0.239567903;25.936425;1.42832967;0.21646262
1.53;0.240688336;-0.601094971;-0.595277958;-0.595580735;0.76643568;9.02E-17;2.558528428;0.245516516;26.05195904;1.43832967;0.21935676
1.54;0.234796041;-0.589229551;-0.583181144;-0.582393695;0.76643568;1.37E-15;2.575250836;0.251821085;26.17821115;1.44832967;0.22230889
1.55;0.22904577;-0.575027101;-0.566873058;-0.566959646;0.76643568;-1.53E-16;2.591973244;0.258500076;26.31871607;1.45832967;0.22532168
1.56;0.223460068;-0.558570145;-0.550267232;-0.549446398;0.76643568;-1.22E-15;2.608695652;0.265552837;26.47877295;1.46832967;0.22839763
1.57;0.218058706;-0.54013618;-0.530005128;-0.529863425;0.76643568;1.21E-16;2.62541806;0.272916103;26.66675943;1.47832967;0.23153907
1.58;0.212863938;-0.519476854;-0.50894858;-0.508054679;0.76643568;-5.20E-17;2.642140468;0.280273862;26.89450327;1.48832967;0.23474793
1.59;0.207898764;-0.496517426;-0.484086272;-0.483651723;0.76643568;-9.71E-17;2.658862876;0.286394809;27.15972694;1.49832967;0.2380257
1.6;0.203193003;-0.470576059;-0.457065846;-0.455963808;0.76643568;-2.66E-15;2.675585284;0.2895777;27.41505635;1.50832967;0.24137319
1.61;0.198784164;-0.440883933;-0.42470202;-0.423744504;0.76643568;-2.39E-16;2.692307692;0.290049503;27.65122616;1.51832967;0.24479037
1.62;0.194728313;-0.40558508;-0.38646814;-0.384689704;0.76643568;-3.82E-16;2.7090301;0.287795347;27.91182138;1.52832967;0.24827602
1.63;0.191112294;-0.36160189;-0.33673564;-0.334336522;0.76643568;-9.02E-17;2.725752508;0.281461319;28.22134518;1.53832967;0.25182736
1.64;0.188087539;-0.302475504;-0.268215368;-0.263889052;0.76643568;7.63E-16;2.742474916;0.272111669;28.51441777;1.54832967;0.25543946
1.65;0.185919606;-0.216793319;-0.16537127;-0.159193845;0.76643568;-1.39E-15;2.759197324;0.261932777;28.76442015;1.55832967;0.25910442
1.66;0.184974067;-0.094553862;-0.023736454;-0.02040987;0.76643568;-1.99E-16;2.775919732;0.251667622;28.98411535;1.56832967;0.26281023
1.67;0.185369907;0.03958404;0.102904534;0.100669068;0.76643568;-7.98E-17;2.79264214;0.241576391;29.18404186;1.57832967;0.26653903
1.68;0.186725518;0.135561047;0.16821756;0.168448915;0.76643568;4.7E-16;2.809364548;0.231801366;29.37096421;1.58832967;0.2702646
1.69;0.188574775;0.184925686;0.201633812;0.200693001;0.76643568;-9.54E-18;2.826086957;0.22244655;29.54973455;1.59832967;0.27394863
1.7;0.190662465;0.208768985;0.215904158;0.216635516;0.76643568;-4.94E-17;2.842809365;0.213605788;29.72446701;1.60832967;0.27753537
1.71;0.192871165;0.220870019;0.225835881;0.225492537;0.76643568;1.27E-16;2.859531773;0.205382998;29.89939516;1.61832967;0.28094409
1.72;0.195153073;0.228190829;0.230545777;0.231269966;0.76643568;2.69E-17;2.876254181;0.197921955;30.07986548;1.62832967;0.28405989
1.73;0.197485005;0.233193239;0.235840701;0.235788004;0.76643568;-4.60E-17;2.892976589;0.191479934;30.27402361;1.63832967;0.28672609
1.74;0.199860515;0.237550987;0.239261273;0.239929085;0.76643568;-1.99E-17;2.909698997;0.186665569;30.4949599;1.64832967;0.28874778
1.75;0.202276736;0.241622045;0.243982817;0.244146455;0.76643568;3.6E-17;2.926421405;0.184969749;30.74418578;1.65832967;0.28992291
1.76;0.204736982;0.246024578;0.248066339;0.248683873;0.76643568;-8.15E-17;2.943143813;0.186853093;30.95958937;1.66783493;0.2901216
1.77;0.207243937;0.25069551;0.253324682;0.253677099;0.76643568;1.4E-16;2.959866221;0.1901826;31.1200888;1.67690102;0.28945178
1.78;0.209803704;0.25597677;0.258628858;0.259203713;0.76643568;1.00E-22;2.976588629;0.193919048;31.24869438;1.68598042;0.28801297
